frame.number,ip.src,ip.dst,_ws.col.info
78,168.63.129.16,10.0.0.4,Standard query response 0xfc1d No such name PTR 61.55.29.202.in-addr.arpa SOA ns.apnic.net
79,10.0.0.4,168.63.129.16,Standard query 0xbc5a PTR 16.129.63.168.in-addr.arpa
80,168.63.129.16,10.0.0.4,Standard query response 0xbc5a No such name PTR 16.129.63.168.in-addr.arpa SOA ns1-02.azure-dns.com
81,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=6/1536\, ttl=128
82,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=6/1536\, ttl=115 (request in 81)
83,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=7/1792\, ttl=128
84,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=7/1792\, ttl=115 (request in 83)
85,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=8/2048\, ttl=128
86,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=8/2048\, ttl=115 (request in 85)
87,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=9/2304\, ttl=128
88,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=9/2304\, ttl=115 (request in 87)
89,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
90,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
91,10.0.0.4,168.63.129.16,49702 → 32526 [ACK] Seq=218 Ack=158 Win=2049 Len=0
92,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=10/2560\, ttl=128
93,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=10/2560\, ttl=115 (request in 92)
94,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=11/2816\, ttl=128
95,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=11/2816\, ttl=115 (request in 94)
96,10.0.0.4,168.63.129.16,49883 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
97,168.63.129.16,10.0.0.4,80 → 49883 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
98,10.0.0.4,168.63.129.16,49883 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
99,10.0.0.4,168.63.129.16,GET /machine?comp=goalstate HTTP/1.1 
100,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
101,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
102,10.0.0.4,168.63.129.16,49883 → 80 [ACK] Seq=157 Ack=2216 Win=525568 Len=0
103,10.0.0.4,168.63.129.16,49883 → 80 [FIN\, ACK] Seq=157 Ack=2216 Win=525568 Len=0
104,168.63.129.16,10.0.0.4,80 → 49883 [ACK] Seq=2216 Ack=158 Win=4194560 Len=0
105,10.0.0.4,168.63.129.16,49884 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
106,168.63.129.16,10.0.0.4,80 → 49884 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
107,10.0.0.4,168.63.129.16,49884 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
108,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=hostingEnvironmentConfig&incarnation=1 HTTP/1.1 
109,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
110,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
111,10.0.0.4,168.63.129.16,49884 → 80 [ACK] Seq=287 Ack=1612 Win=525568 Len=0
112,10.0.0.4,168.63.129.16,49884 → 80 [FIN\, ACK] Seq=287 Ack=1612 Win=525568 Len=0
113,168.63.129.16,10.0.0.4,80 → 49884 [ACK] Seq=1612 Ack=288 Win=4194304 Len=0
114,10.0.0.4,168.63.129.16,49885 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
115,168.63.129.16,10.0.0.4,80 → 49885 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
116,10.0.0.4,168.63.129.16,49885 → 80 [ACK] Seq=1 Ack=1 Win=525568 Len=0
117,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=hostingEnvironmentConfig&incarnation=1 HTTP/1.1 
118,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
119,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
120,10.0.0.4,168.63.129.16,49885 → 80 [ACK] Seq=287 Ack=1612 Win=525568 Len=0
121,10.0.0.4,168.63.129.16,49885 → 80 [FIN\, ACK] Seq=287 Ack=1612 Win=525568 Len=0
122,168.63.129.16,10.0.0.4,80 → 49885 [ACK] Seq=1612 Ack=288 Win=4194304 Len=0
123,10.0.0.4,168.63.129.16,49886 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
124,168.63.129.16,10.0.0.4,80 → 49886 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
125,10.0.0.4,168.63.129.16,49886 → 80 [ACK] Seq=1 Ack=1 Win=4194560 Len=0
126,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=sharedConfig&incarnation=1 HTTP/1.1 
127,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
128,10.0.0.4,168.63.129.16,49886 → 80 [ACK] Seq=275 Ack=1034 Win=4193536 Len=0
129,10.0.0.4,168.63.129.16,49886 → 80 [FIN\, ACK] Seq=275 Ack=1034 Win=4193536 Len=0
130,168.63.129.16,10.0.0.4,80 → 49886 [ACK] Seq=1034 Ack=276 Win=4194304 Len=0
131,10.0.0.4,168.63.129.16,49887 → 80 [SYN\, ECE\, CWR] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
132,168.63.129.16,10.0.0.4,80 → 49887 [SYN\, ACK\, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
133,10.0.0.4,168.63.129.16,49887 → 80 [ACK] Seq=1 Ack=1 Win=4194560 Len=0
134,10.0.0.4,168.63.129.16,GET /machine/aab8027a-acae-4d1a-9574-4723c316076c/66359768%2D3838%2D40b0%2Db402%2D8b3427650d4b.%5Fwin?comp=config&type=extensionsConfig&incarnation=1 HTTP/1.1 
135,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
136,168.63.129.16,10.0.0.4,80 → 49887 [ACK] Seq=1441 Ack=279 Win=4194304 Len=1440
137,168.63.129.16,10.0.0.4,80 → 49887 [ACK] Seq=2881 Ack=279 Win=4194304 Len=1440
138,168.63.129.16,10.0.0.4,80 → 49887 [ACK] Seq=4321 Ack=279 Win=4194304 Len=1440
139,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
140,10.0.0.4,168.63.129.16,49887 → 80 [ACK] Seq=279 Ack=5818 Win=4194560 Len=0
141,10.0.0.4,168.63.129.16,49887 → 80 [FIN\, ACK] Seq=279 Ack=5818 Win=4194560 Len=0
142,168.63.129.16,10.0.0.4,80 → 49887 [ACK] Seq=5818 Ack=280 Win=4194304 Len=0
143,10.0.0.4,168.63.129.16,GET /vmSettings HTTP/1.1 
144,168.63.129.16,10.0.0.4,HTTP/1.1 304 Not Modified 
145,10.0.0.4,168.63.129.16,49679 → 32526 [ACK] Seq=2785 Ack=475 Win=16380 Len=0
146,10.0.0.4,8.8.8.8,Echo (ping) request  id=0x0001\, seq=12/3072\, ttl=128
147,8.8.8.8,10.0.0.4,Echo (ping) reply    id=0x0001\, seq=12/3072\, ttl=115 (request in 146)
148,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 
149,168.63.129.16,10.0.0.4,HTTP/1.1 100 Continue 
150,10.0.0.4,168.63.129.16,PUT /status HTTP/1.1 \, JSON (application/json)
151,168.63.129.16,10.0.0.4,32526 → 49679 [ACK] Seq=500 Ack=5111 Win=16385 Len=0
152,168.63.129.16,10.0.0.4,HTTP/1.1 200 OK 
153,10.0.0.4,168.63.129.16,49679 → 32526 [ACK] Seq=5111 Ack=635 Win=16380 Len=0
154,10.0.0.4,52.148.114.188,NTP Version 3\, client
155,52.148.114.188,10.0.0.4,NTP Version 3\, server
