frame.number,ip.src,ip.dst,_ws.col.info
141,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1693 Ack=1621 Win=2048 Len=0 TSval=4271057457 TSecr=2596685809
142,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
143,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
144,172.16.0.4,49.228.168.4,[TCP Retransmission] 22 → 59875 [PSH, ACK] Seq=1657 Ack=1729 Win=981 Len=36 TSval=2596685940 TSecr=4271057457
145,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
146,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
147,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
148,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
149,172.16.0.4,49.228.168.4,22 → 59875 [ACK] Seq=1693 Ack=1873 Win=981 Len=0 TSval=2596685952 TSecr=4271057478
150,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=144)
151,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1873 Ack=1657 Win=2048 Len=0 TSval=4271057562 TSecr=2596685829
152,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1873 Ack=1693 Win=2048 Len=0 TSval=4271057562 TSecr=2596685849
153,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
154,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
155,49.228.168.4,172.16.0.4,[TCP Dup ACK 152#1] 59875 → 22 [ACK] Seq=1909 Ack=1693 Win=2048 Len=0 TSval=4271057588 TSecr=2596685940 SLE=1657 SRE=1693
156,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
157,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
158,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1945 Ack=1837 Win=2048 Len=0 TSval=4271057600 TSecr=2596685952
159,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1945 Ack=1873 Win=2048 Len=0 TSval=4271057609 TSecr=2596685961
160,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
161,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
162,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=1981 Ack=1909 Win=2048 Len=0 TSval=4271057634 TSecr=2596685986
163,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
164,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
165,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2017 Ack=1945 Win=2048 Len=0 TSval=4271057655 TSecr=2596686007
166,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
167,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
168,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2053 Ack=1981 Win=2048 Len=0 TSval=4271057675 TSecr=2596686026
169,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
170,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
171,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2089 Ack=2017 Win=2048 Len=0 TSval=4271057695 TSecr=2596686047
172,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
173,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
174,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2125 Ack=2053 Win=2048 Len=0 TSval=4271057716 TSecr=2596686068
175,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
176,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
177,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2161 Ack=2089 Win=2048 Len=0 TSval=4271057737 TSecr=2596686088
178,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
179,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
180,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2197 Ack=2125 Win=2048 Len=0 TSval=4271057757 TSecr=2596686108
181,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
182,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
183,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2233 Ack=2161 Win=2048 Len=0 TSval=4271057777 TSecr=2596686129
184,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
185,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
186,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2269 Ack=2197 Win=2048 Len=0 TSval=4271057797 TSecr=2596686149
187,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
188,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
189,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2305 Ack=2233 Win=2048 Len=0 TSval=4271057818 TSecr=2596686170
190,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
191,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
192,49.228.168.4,172.16.0.4,59875 → 22 [ACK] Seq=2341 Ack=2269 Win=2048 Len=0 TSval=4271057837 TSecr=2596686188
193,49.228.168.4,172.16.0.4,Client: Encrypted packet (len=36)
194,172.16.0.4,49.228.168.4,Server: Encrypted packet (len=36)
